,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oil,1665249,1492638,1416234,1420965,1583799,1524900,1443620,1369011,1305728,1189301,1076369,1020815,997809,1074491,1201522,1403057,1374021,1677862,2549541,4572464,6148981,11635491,19406084,34490597,49221516,76870328,10748361
Gas,25298021,28130361,23129847,22936862,21131225,21924509,21303040,23508164,23237086,21089047,26385283,37647421,66962567,94033790,125458738,108904397,106395072,81618214,61264012,56214246,69748213,93994664,127729350,167031426,232660458,316361937,46476163
